#,timestamp,shoulder_pan_joint_angle,shoulder_lift_joint_angle,elbow_joint_angle,wrist_1_joint_angle,wrist_2_joint_angle,wrist_3_joint_angle,shoulder_pan_joint_velocity,shoulder_lift_joint_velocity,elbow_joint_velocity,wrist_1_joint_velocity,wrist_2_joint_velocity,wrist_3_joint_velocity
409,2024-10-27T10:41:17.248359,-0.21437594885108519,-0.5634424008660527,-0.7615349165875053,-0.7555747664012352,-0.5471589677364218,-0.19213236553518423,-2.4035362431156715,-1.8049569816323814,-0.7227409545477834,0.5531329276447986,1.6807952885678787,2.358089909277179
410,2024-10-27T10:41:17.575007,-0.2891243475800531,-0.6155114020503124,-0.7769726734090397,-0.7302447443867657,-0.4878483258289883,-0.11473334233645482,-2.335887460280246,-1.6271562870081149,-0.48242990067295194,0.7915631879521725,1.8534575596072957,2.418719474960292
411,2024-10-27T10:41:17.898362,-0.3609531784665723,-0.6613649900010359,-0.784564586562502,-0.6975407357444888,-0.4236114080959314,-0.036175745743454536,-2.244650965203723,-1.4329246234601072,-0.23724728604569678,1.0220002700711506,2.0074036791580263,2.454924893531257
412,2024-10-27T10:41:18.224403,-0.42913711641584446,-0.7005401367444034,-0.7842339931667095,-0.6577929844429613,-0.3550968767508666,0.042747152301440765,-2.1307480609147524,-1.2242233357302341,0.010331043618517352,1.242117228172734,2.141079104533273,2.466340563902976
413,2024-10-27T10:41:18.550555,-0.4929876423381618,-0.7326412529790906,-0.7759842315425448,-0.6114028619248887,-0.28299658920438475,0.12123839105420056,-1.9953289350724146,-1.0031598823339722,0.2578050507551462,1.4496913286897681,2.2531339858275556,2.452851211023741
414,2024-10-27T10:41:18.877116,-0.5518599957912905,-0.7573441827235968,-0.759898607502706,-0.5588388140719296,-0.20803861171141708,0.19850536865166604,-1.8397610454102717,-0.7719665545158204,0.5026757512449627,1.6426264954049703,2.342436796655238,2.414593049920794
415,2024-10-27T10:41:19.200933,-0.6051596857495191,-0.7743994766323378,-0.7361395531324373,-0.5006316308540913,-0.1309798673829197,0.2737678457782454,-1.6656153111946403,-0.532977934648154,0.7424704490708964,1.8189744755574435,2.408085760265541,2.3519524102056035
416,2024-10-27T10:41:19.527304,-0.6523484937538454,-0.7836349109266653,-0.7049469865558505,-0.4373690864306403,-0.05259849280200646,0.346265824496024,-1.474650250135197,-0.2886073216977339,0.9747677055183352,1.9769545132328428,2.4494179556535367,2.2655618349305784
417,2024-10-27T10:41:19.850722,-0.692949908823694,-0.7849572265047345,-0.6666358892508583,-0.36969000382660905,0.026314019572834288,0.41526722267812477,-1.268794220932838,-0.041322361814667176,1.1972217907810738,2.114971331376093,2.466016011713908,2.156293693190767
418,2024-10-27T10:41:20.173682,-0.7265539392486245,-0.7783530706687478,-0.6215931253768966,-0.2982778041195658,0.10496081387172666,0.48007526654918137,-1.0501259507790786,0.20637986987458495,1.4075863710613008,2.2316312408451,2.4577123218403845,2.025251370970517
419,2024-10-27T10:41:20.497833,-0.7528212526706819,-0.7638891319600435,-0.5702735352338016,-0.22385360527681827,0.18254771743687906,0.5400355266832247,-0.8208535444392914,0.4519980846470098,1.6037371919717158,2.3257562138358576,2.42459073641101,1.8737581291888539
420,2024-10-27T10:41:20.824354,-0.7714866026510401,-0.741711466740467,-0.5131953422998844,-0.14716894033063085,0.2582912603511545,0.5945425264098358,-0.5832921868861927,0.6930520381117662,1.7836935291849125,2.396395779568355,2.366985716071106,1.7033437414565955
421,2024-10-27T10:41:21.146375,-0.7823615071195189,-0.7120440243201953,-0.45093492022887116,-0.06899816842322455,0.3314265868906468,0.6430458558969706,-0.33984076463996316,0.9271075756334879,1.9456381897191617,2.442836622106445,2.285478954359132,1.51572904647296
422,2024-10-27T10:41:21.473185,-0.7853361516601359,-0.6751863855252047,-0.38412097264830913,0.009869344645562262,0.40121517901182596,0.6850557301707669,-0.09295764189428185,1.1518012123434551,2.0879358618925616,2.4646097833995855,2.1808935037868467,1.312808571056134
423,2024-10-27T10:41:21.799905,-0.7803804984133467,-0.6315107375402659,-0.31342818453169147,0.0886371974073068,0.4669523138816544,0.7201479349475728,0.15486416396216424,1.3648639995293375,2.2091496286443,2.461495398804515,2.054285464682138,1.0966313992751822
424,2024-10-27T10:41:22.126630,-0.7675445893973302,-0.5814581155753921,-0.2395704092525089,0.16650999475998202,0.5279741801448207,0.7479681103353745,0.40112215675051527,1.5641444364023052,2.3080554774744537,2.4335249172710984,1.9069333207239436,0.8693804808688018
425,2024-10-27T10:41:22.449082,-0.7469580411853893,-0.5255339493072674,-0.16329346011712853,0.24270137984068332,0.5836645810682605,0.7682353291479512,0.6433296316231506,1.747630195878895,2.383654660480634,2.3809807837719137,1.740325028857492,0.6333505878930231
